K,ARsize,FoldChange
35.9952199392298,(0.9445698639264231+0j),3.45
36.5129630456185,(0.9311761403072422+0j),3.46
37.0378533652090,(0.9179797669358829+0j),3.47
37.5700001361289,(0.9049773722865697+0j),3.48
38.1095144544163,(0.8921656569691586+0j),3.49
38.6565093079423,(0.87954139183008+0j),3.5
39.2110996109958,(0.8671014161119189+0j),3.5100000000000002
39.7734022395445,(0.8548426356696153+0j),3.52
40.3435360671868,(0.8427620212412101+0j),3.5300000000000002
40.9216220018069,(0.8308566067713239+0j),3.54
41.5077830229511,(0.8191234877854172+0j),3.5500000000000003
42.1021442199349,(0.8075598198132006+0j),3.56
42.7048328307033,(0.7961628168593405+0j),3.57
43.3159782814533,(0.78492974991997+0j),3.58
43.9357122270364,(0.7738579455433898+0j),3.59
44.5641685921607,(0.7629447844334065+0j),3.6
45.2014836134051,(0.7521877000939153+0j),3.61
45.8477958820634,(0.7415841775133507+0j),3.62
46.5032463878381,(0.7311317518875841+0j),3.63
47.1679785633967,(0.7208280073800892+0j),3.64
47.8421383298155,(0.7106705759180298+0j),3.65
48.5258741429232,(0.7006571360231412+0j),3.66
49.2193370405657,(0.6907854116762641+0j),3.67
49.9226806908119,(0.6810531712143727+0j),3.68
50.6360614411201,(0.6714582262590745+0j),3.69
51.3596383684834,(0.6619984306755547+0j),3.7
52.0935733305784,(0.6526716795609484+0j),3.71
52.8380310179323,(0.6434759082612479+0j),3.72
53.5931790071392,(0.634409091415735+0j),3.73
54.3591878151361,(0.6254692420281681+0j),3.74
55.1362309545715,(0.6166544105637851+0j),3.75
55.9244849902842,(0.6079626840713307+0j),3.7600000000000002
56.7241295969148,(0.59939218532935+0j),3.77
57.5353476176804,(0.5909410720159086+0j),3.7800000000000002
58.3583251243280,(0.5826075359010997+0j),3.79
59.1932514783007,(0.574389802061538+0j),3.8000000000000003
60.0403193931353,(0.5662861281162237+0j),3.81
60.8997249981219,(0.5582948034830784+0j),3.82
61.7716679032516,(0.5504141486555242+0j),3.83
62.6563512654777,(0.5426425144984985+0j),3.84
63.5539818563209,(0.5349782815633046+0j),3.85
64.4647701308470,(0.5274198594207149+0j),3.86
65.3889302980435,(0.5199656860118007+0j),3.87
66.3266803926305,(0.5126142270159163+0j),3.88
67.2782423483309,(0.505363975235353+0j),3.89
68.2438420726356,(0.4982134499961469+0j),3.9
69.2237095230929,(0.4911611965645623+0j),3.91
70.2180787851570,(0.4842057855787855+0j),3.92
71.2271881516273,(0.47734581249538255+0j),3.93
72.2512802037161,(0.47057989705006337+0j),3.94
73.2906018937743,(0.46390668273237556+0j),3.95
74.3454046297161,(0.4573248362738762+0j),3.96
75.4159443611776,(0.45083304714940936+0j),3.97
76.5024816674462,(0.4444300270911068+0j),3.98
77.6052818471996,(0.43811450961474596+0j),3.99
78.7246150100948,(0.43188524955809837+0j),4.0
79.8607561702439,(0.42574102263094254+0j),4.01
81.0139853416240,(0.41968062497637965+0j),4.02
82.1845876354548,(0.4137028727431645+0j),4.03
83.3728533595957,(0.40780660166870514+0j),4.04
84.5790781199979,(0.4019906666724595+0j),4.050000000000001
85.8035629242646,(0.39625394145940596+0j),4.0600000000000005
87.0466142873578,(0.39059531813333226+0j),4.07
88.3085443395050,(0.3850137068196471+0j),4.08
89.5896709363489,(0.3795080352974633+0j),4.09
90.8903177713929,(0.3740772486406828+0j),4.1
92.2108144907901,(0.36872030886784835+0j),4.109999999999999
93.5514968105315,(0.36343619460049603+0j),4.12
94.9127066360772,(0.3582239007298131+0j),4.13
96.2947921844997,(0.35308243809131856+0j),4.140000000000001
97.6981081091732,(0.34801083314741915+0j),4.15
99.1230156270902,(0.34300812767754263+0j),4.16
100.569882648839,(0.33807337847572233+0j),4.17
102.039083911320,(0.3332056570553751+0j),4.18
103.531001113250,(0.3284040493611007+0j),4.1899999999999995
105.046023053521,(0.323667655487319+0j),4.2
106.584545772474,(0.31899558940355055+0j),4.21
108.146972696158,(0.3143869786861634+0j),4.220000000000001
109.733714783631,(0.30984096425642743+0j),4.23
111.345190677385,(0.3053567001246847+0j),4.24
112.981826856943,(0.3009333531405075+0j),4.25
114.644057795726,(0.29657010274864576+0j),4.26
116.332326121234,(0.29226614075065743+0j),4.27
118.047082778646,(0.2880206710720198+0j),4.28
119.788787197881,(0.28383290953463775+0j),4.29
121.557907464227,(0.2797020836345497+0j),4.300000000000001
123.354920492604,(0.27562743232474846+0j),4.3100000000000005
125.180312205545,(0.27160820580294043+0j),4.32
127.034577714971,(0.2676436653041511+0j),4.33
128.918221507866,(0.2637330828980247+0j),4.34
130.831757635911,(0.25987574129071905+0j),4.35
132.775709909192,(0.25607093363125805+0j),4.359999999999999
134.750612094059,(0.2523179633222532+0j),4.37
136.757008115231,(0.24861614383485006+0j),4.38
138.795452262252,(0.2449647985278186+0j),4.390000000000001
140.866509400382,(0.24136326047068116+0j),4.4
142.970755186036,(0.23781087227075645+0j),4.41
145.108776286870,(0.23430698590403978+0j),4.42
147.281170606612,(0.23085096254981574+0j),4.43
149.488547514762,(0.2274421724289106+0j),4.4399999999999995
151.731528081250,(0.22407999464549933+0j),4.45
154.010745316186,(0.22076381703236017+0j),4.46
156.326844414804,(0.21749303599951825+0j),4.470000000000001
158.680483007721,(0.2142670563861694+0j),4.48
161.072331416643,(0.211085291315818+0j),4.49
163.503072915617,(0.20794716205454528+0j),4.5
165.973403997991,(0.20485209787232886+0j),4.51
168.484034649175,(0.20179953590734173+0j),4.52
171.035688625372,(0.1987889210331524+0j),4.53
173.629103738384,(0.19581970572876772+0j),4.54
176.265032146652,(0.19289134995143087+0j),4.550000000000001
