IDENTIFIER	DTB-097-Progression-cfDNA	DTB-102-Progression-cfDNA	DTB-119-Progression-cfDNA	DTB-149-Baseline-cfDNA	DTB-156-Baseline-cfDNA	DTB-183-Baseline-cfDNA	DTB-205-Baseline-cfDNA	DTB-210-Baseline-cfDNA	DTB-214-Baseline-cfDNA	DTB-216-Progression-cfDNA	DTB-258-Baseline-cfDNA	DTB-261-Baseline-cfDNA	DTB-266-Baseline-cfDNA	GENE_ID
MEIS3P1	1.712	2.504	0.56	0.774	8.822	1.091	1.638	3.134	2.816	4.963	1.263	4.12	2.227	
MELK	43.653	29.099	13.107	14.366	19.179	46.853	79.525	11.091	26.545	116.286	25.115	34.815	17.905	ENSG00000165304.8
MEMO1	48.199	32.968	32.888	70.082	37.168	99.988	27.397	16.764	125.858	43.709	49.103	76.572	50.756	ENSG00000162959.13
MEN1	34.922	29.18	39.508	48.151	55.349	28.613	32.32	45.961	52.712	53.184	51.471	70.024	41.843	ENSG00000133895.17
MEOX2	0.107	1.808	4.098	2.545	3.101	0.0	10.808	0.0	1.786	1.384	1.233	0.926	1.917	ENSG00000106511.6
MEPCE	18.33	27.016	17.976	26.829	29.315	15.942	14.493	21.634	32.7	22.724	24.442	25.143	24.649	ENSG00000146834.14
MEPE	0.0	0.144	0.0	1.352	0.305	0.0	0.0	11.352	3.406	0.089	2.627	0.068	7.664	ENSG00000152595.16
MERTK	5.519	35.184	15.426	12.628	23.939	31.324	4.835	3.458	18.753	20.293	50.59	41.684	22.655	ENSG00000153208.17
MESDC1	15.671	7.11	8.297	12.712	25.916	6.698	7.254	8.841	16.18	7.738	11.546	11.375	10.526	
MESDC2	25.885	21.079	14.232	32.493	28.483	19.257	10.672	29.373	34.218	14.412	22.389	23.96	22.858	
MESP1	3.976	4.346	12.591	20.729	22.072	33.592	0.223	36.344	7.585	108.198	25.267	149.248	34.153	ENSG00000166823.5
MESP2	0.33	6.814	0.0	0.111	1.13	0.338	0.0	0.309	0.0	27.856	3.529	6.164	1.23	ENSG00000188095.6
MEST	149.219	175.487	12.003	13.975	120.342	90.202	214.278	36.684	64.526	78.346	26.611	63.897	59.274	ENSG00000106484.16
MESTIT1	1.534	10.546	0.184	0.0	12.15	6.68	13.675	6.198	9.658	2.791	2.873	4.41	7.79	
MET	10.124	4.08	2.437	2.529	6.474	5.188	44.505	0.475	4.567	10.816	0.809	11.666	4.404	ENSG00000105976.16
METAP1	44.967	84.811	36.321	81.889	72.195	90.736	100.736	71.347	53.886	80.596	35.962	93.889	51.95	ENSG00000164024.12
METAP1D	3.049	4.051	4.94	9.522	16.008	7.324	3.24	17.65	15.483	7.112	7.953	12.704	10.396	ENSG00000172878.14
METAP2	125.609	130.14	191.907	148.507	136.351	194.513	436.537	98.843	93.825	165.994	81.205	79.209	197.062	ENSG00000111142.14
METRN	20.127	7.353	76.342	8.542	38.664	3.955	1.444	38.18	8.809	114.313	40.401	14.525	29.205	ENSG00000103260.9
METRNL	18.333	5.606	7.338	14.194	4.571	2.241	0.648	0.725	3.272	4.619	15.511	5.105	10.199	ENSG00000176845.13
METTL1	27.049	15.685	44.186	22.022	28.418	13.489	15.184	44.809	14.576	22.401	14.305	28.811	14.765	ENSG00000037897.17
METTL10	15.248	12.606	9.608	22.307	21.102	14.214	5.04	18.069	24.471	14.908	8.463	23.748	25.9	
METTL12	8.449	9.381	5.552	23.829	13.457	14.266	6.935	20.999	26.863	9.412	12.024	15.737	7.205	
METTL13	45.631	30.209	17.337	32.204	48.019	18.191	35.734	35.9	30.588	33.085	35.866	27.359	29.357	
METTL14	10.95	21.996	17.908	23.017	20.243	23.893	30.074	11.949	15.35	27.551	19.143	21.583	25.443	ENSG00000145388.15
METTL15	8.697	9.924	7.637	11.065	15.198	7.369	3.519	12.705	8.278	14.097	10.556	7.959	10.017	ENSG00000169519.21
METTL16	11.32	24.979	7.638	13.018	18.576	22.032	17.188	12.304	29.7	22.917	21.108	13.229	14.5	ENSG00000127804.13
METTL17	13.499	12.902	29.119	19.135	47.74	10.412	12.29	25.471	30.274	29.322	17.523	10.093	22.932	ENSG00000165792.18
METTL18	42.2	20.285	23.707	18.97	50.829	12.536	39.729	29.636	8.339	23.224	30.07	17.893	32.158	ENSG00000171806.12
METTL20	5.237	7.198	4.165	8.758	9.113	5.52	5.778	5.921	5.471	4.737	13.582	8.959	11.571	
METTL21A	3.348	5.855	2.952	6.367	9.84	2.596	3.722	11.438	7.396	11.258	7.274	7.407	4.529	ENSG00000144401.14
METTL21B	12.325	30.122	26.847	22.945	55.458	39.516	10.468	42.409	30.943	14.698	12.902	38.022	17.473	
METTL22	6.703	18.197	10.029	16.376	20.714	11.314	11.204	14.325	19.829	18.478	10.776	22.05	15.873	ENSG00000067365.15
METTL23	44.163	65.674	78.492	55.132	107.835	29.715	50.554	77.527	33.103	83.027	46.531	94.186	44.859	ENSG00000181038.14
METTL25	7.809	16.874	24.785	36.866	15.719	23.462	13.061	15.355	12.725	13.458	10.139	28.083	33.046	ENSG00000127720.8
METTL2A	16.387	15.631	22.41	24.931	35.407	25.777	29.622	25.114	45.329	29.758	18.491	21.205	18.593	ENSG00000087995.16
METTL2B	19.63	61.942	21.002	29.917	34.096	18.194	22.563	41.715	33.206	37.854	35.242	36.771	38.362	ENSG00000165055.16
METTL3	38.729	42.678	62.833	74.879	73.236	42.023	20.12	80.385	82.403	59.516	62.093	68.885	71.907	ENSG00000165819.12
METTL4	6.762	16.678	6.803	12.318	15.774	8.13	12.627	18.37	8.611	10.35	5.985	16.567	3.903	ENSG00000101574.15
METTL5	58.567	164.679	66.268	55.048	58.124	89.131	149.69	146.103	52.672	70.078	73.957	116.482	111.04	ENSG00000138382.15
METTL6	4.608	19.7	17.694	10.812	21.491	10.407	16.966	11.855	7.141	16.302	16.433	9.745	10.247	ENSG00000206562.12
METTL7A	21.656	29.42	25.616	17.875	28.622	17.756	6.488	16.842	19.841	20.832	6.378	24.292	27.106	ENSG00000185432.12
METTL7B	66.519	0.69	4.205	0.12	0.488	0.183	8.278	0.0	7.683	8.69	0.762	0.436	0.306	ENSG00000170439.7
METTL8	4.862	14.897	16.763	16.161	22.166	18.799	15.927	20.256	26.085	6.705	9.191	13.152	13.366	ENSG00000123600.20
METTL9	68.838	84.172	92.011	86.762	51.15	83.731	91.068	77.335	137.714	108.702	75.27	108.577	93.572	ENSG00000197006.14
MEX3A	62.411	14.656	5.261	64.626	85.285	28.219	47.938	11.016	7.383	13.771	8.528	32.101	8.258	ENSG00000254726.3
MEX3B	4.346	2.546	3.476	4.806	2.125	4.582	8.704	0.79	2.884	2.496	4.244	8.063	2.023	ENSG00000183496.6
MEX3C	14.306	34.676	25.007	44.622	17.229	38.338	15.271	28.395	30.737	46.358	44.152	39.864	24.086	ENSG00000176624.12
MEX3D	12.851	14.605	13.83	27.753	5.452	9.113	11.66	3.969	16.374	7.109	22.479	15.924	13.55	ENSG00000181588.16
MFAP1	107.579	246.927	81.316	159.36	63.567	206.483	213.934	48.116	151.993	90.613	106.806	101.475	157.806	ENSG00000140259.7
MFAP2	3.095	5.213	4.828	6.4	1.302	0.0	3.091	0.446	4.198	3.974	0.675	3.77	5.17	ENSG00000117122.14
MFAP3	49.127	76.477	65.457	78.736	61.933	49.839	58.045	56.769	42.689	68.81	55.769	68.812	58.709	ENSG00000037749.12
MFAP3L	4.521	1.715	4.485	8.081	7.924	1.822	0.432	2.544	3.282	6.005	5.467	3.645	6.452	ENSG00000198948.12
MFAP4	38.675	61.933	1.048	1.699	2.18	0.0	102.57	1.117	0.675	3.614	0.568	5.692	1.293	ENSG00000166482.12
MFAP5	0.333	12.734	1.528	2.597	4.125	9.484	9.319	0.078	3.312	0.673	0.12	2.211	0.0	ENSG00000197614.11
MFF	64.751	78.949	67.232	67.616	54.862	66.4	110.312	71.889	78.552	97.592	110.379	106.433	85.858	ENSG00000168958.20
MFGE8	50.009	83.874	17.17	21.751	33.885	7.071	15.41	4.844	35.986	17.908	15.953	46.276	13.584	ENSG00000140545.15
MFHAS1	26.045	19.687	6.9	12.693	7.267	5.77	10.582	11.427	8.166	13.836	14.125	14.037	8.575	ENSG00000147324.11
MFI2	3.192	2.105	2.113	3.718	1.607	1.58	2.414	2.048	2.22	5.176	2.744	1.004	1.347	
MFI2-AS1	15.086	43.893	11.412	17.929	22.238	12.436	1.993	15.554	29.991	61.221	38.565	9.132	13.494	
MFN1	32.022	87.196	49.186	37.397	34.942	66.223	40.714	35.551	37.864	41.045	33.055	44.531	38.102	ENSG00000171109.19
MFN2	82.958	75.325	74.011	81.897	47.191	50.501	58.737	25.257	55.334	87.304	96.325	83.582	62.764	ENSG00000116688.18
MFNG	3.369	5.919	4.011	4.316	12.074	0.993	31.839	0.791	0.769	3.002	1.898	3.556	3.255	ENSG00000100060.18
MFSD1	80.105	103.715	91.071	81.459	57.799	25.511	34.61	49.8	89.986	62.582	72.527	78.483	59.866	ENSG00000118855.21
MFSD10	20.332	13.524	16.774	43.864	40.481	7.138	3.284	10.99	24.756	16.0	34.194	36.486	24.914	ENSG00000109736.15
MFSD11	10.036	15.007	15.621	17.275	19.311	7.131	4.32	10.613	25.463	24.945	17.019	9.049	9.583	ENSG00000092931.11
MFSD12	10.353	7.948	18.347	20.858	8.605	3.85	0.897	22.265	42.919	15.212	22.703	24.458	16.766	ENSG00000161091.13
MFSD2A	16.32	6.744	1.471	0.548	0.318	0.358	3.452	0.435	1.776	2.05	4.982	2.067	0.6	ENSG00000168389.18
MFSD3	38.34	12.867	31.144	37.976	34.149	6.983	10.342	20.862	29.736	28.714	39.094	40.906	37.342	ENSG00000167700.9
MFSD4	11.772	6.47	12.651	15.134	38.244	6.051	8.19	7.282	1.16	16.298	53.469	13.31	4.717	
MFSD5	26.755	10.924	46.728	26.601	40.676	11.451	12.924	34.831	38.863	29.688	29.766	32.744	22.886	ENSG00000182544.9
MFSD6	64.18	36.288	40.553	45.997	76.444	18.652	61.72	20.062	44.536	92.088	142.192	75.874	50.181	ENSG00000151690.15
MFSD6L	2.856	0.444	1.361	0.0	5.025	0.0	0.0	0.0	4.674	2.116	4.425	0.0	0.329	ENSG00000185156.6
MFSD8	4.139	9.212	9.266	10.556	15.86	7.935	7.181	6.468	15.237	18.475	12.962	9.123	11.522	ENSG00000164073.11
MFSD9	6.328	8.081	7.862	6.119	4.739	4.43	4.34	6.206	5.011	6.235	7.762	9.419	7.402	ENSG00000135953.11
MGA	37.734	79.626	56.929	57.699	81.899	61.895	66.107	56.323	74.312	61.524	76.617	58.154	54.332	ENSG00000174197.16
MGAM	0.0	0.029	0.431	0.304	0.123	0.023	1.043	0.063	0.202	2.939	0.436	0.457	0.336	ENSG00000257335.8
MGAM2	0.038	0.196	0.012	0.0	0.104	0.0	1.704	0.071	0.0	0.159	0.142	0.103	0.105	ENSG00000257743.8
MGAT1	48.66	49.367	41.46	34.487	54.405	13.167	8.283	37.981	26.448	25.444	39.917	20.45	47.106	ENSG00000131446.17
MGAT2	26.33	38.519	35.679	29.212	23.646	14.416	24.515	38.993	21.315	23.54	31.053	36.685	30.461	ENSG00000168282.6
MGAT3	0.047	2.664	0.374	0.919	0.514	0.146	5.098	0.0	0.361	1.021	1.954	0.722	0.162	ENSG00000128268.12
MGAT4A	12.133	37.75	30.686	8.917	17.349	14.716	15.015	12.164	13.738	25.072	84.055	12.307	33.353	ENSG00000071073.13
MGAT4B	67.019	13.661	35.025	37.985	47.983	19.934	10.106	16.192	50.449	46.404	77.837	24.633	24.819	ENSG00000161013.17
MGAT5	19.201	88.836	30.9	44.431	33.874	46.349	50.549	24.075	36.545	97.071	32.242	46.508	43.262	ENSG00000152127.9
MGAT5B	2.942	0.428	0.044	0.261	4.472	1.543	2.157	1.344	0.85	5.837	2.897	0.715	0.032	ENSG00000167889.13
MGC12916	2.321	0.334	1.431	4.361	0.354	0.93	0.961	0.847	1.152	0.933	0.185	0.635	5.192	
MGC16025	0.0	0.782	1.247	0.164	1.828	0.0	0.113	0.908	1.081	0.876	2.34	0.595	1.53	
MGC16275	4.897	7.005	2.355	3.871	9.263	3.797	2.283	3.641	2.221	6.006	2.199	1.95	4.702	
MGC27345	6.036	13.385	4.346	10.215	25.523	17.482	13.971	15.428	16.347	12.435	14.861	11.1	10.152	
MGC2889	0.0	0.0	0.371	0.079	0.0	0.0	22.102	0.0	0.299	0.0	0.0	0.0	0.067	
MGC32805	0.38	0.245	0.0	0.0	0.0	0.0	3.703	1.957	0.0	0.455	0.0	0.0	0.0	
MGC39584	0.0	0.0	18.725	3.1	0.0	0.0	7.271	0.0	0.291	1.467	0.163	5.199	0.0	
MGC45922	0.628	4.436	1.212	1.051	0.856	1.585	0.581	2.057	2.352	1.238	3.092	7.22	4.468	
MGC50722	0.0	0.155	0.0	0.0	0.083	0.0	0.0	0.113	0.0	2.668	0.0	0.148	0.173	
MGC57346	3.555	8.393	7.222	7.418	15.415	6.021	9.197	7.856	5.551	10.136	7.804	4.8	5.485	
MGC70870	6.374	10.709	1.345	0.218	20.095	0.914	1.721	1.055	3.501	13.74	5.542	0.694	19.796	
MGC72080	59.752	90.098	38.345	88.467	149.886	84.739	16.54	68.015	72.421	73.465	73.246	46.288	61.439	
MGEA5	164.415	183.545	175.395	252.057	283.501	248.982	254.681	159.302	209.605	216.803	219.163	133.283	211.383	
MGLL	23.492	22.44	10.203	19.46	39.975	9.012	6.44	4.478	4.965	17.343	31.403	8.73	30.839	ENSG00000074416.14
MGME1	15.077	39.472	20.957	26.517	60.102	36.186	61.549	22.156	18.555	39.573	33.963	41.417	37.539	ENSG00000125871.14
MGMT	44.448	13.765	32.22	28.15	20.871	9.335	8.089	17.151	20.082	27.943	9.128	33.107	41.767	ENSG00000170430.10
MGP	96.929	604.794	96.908	90.346	165.13	51.976	64.637	4.279	35.416	29.19	41.624	99.679	57.672	ENSG00000111341.10
MGRN1	64.945	34.813	42.534	41.926	55.023	27.171	23.936	39.318	51.149	54.233	43.957	96.294	47.03	ENSG00000102858.13
MGST1	135.414	187.235	82.083	80.462	8.184	116.239	4.337	187.962	124.758	131.406	0.155	49.481	6.667	ENSG00000008394.13
MGST2	159.897	114.885	139.794	202.81	104.004	72.371	75.473	118.789	82.076	81.656	72.783	90.685	211.855	ENSG00000085871.9
MGST3	218.941	198.154	211.572	180.34	145.795	121.646	84.757	189.369	74.3	194.428	350.321	701.044	57.558	ENSG00000143198.13
MIA2	9.294	0.0	0.178	0.607	0.0	30.986	27.866	0.0	0.0	0.0	0.08	0.0	30.948	ENSG00000150527.17
MIA3	207.607	90.083	419.257	282.634	394.22	156.905	73.688	111.46	108.395	212.136	272.731	255.987	190.298	ENSG00000154305.18
MIAT	0.0	7.491	0.868	0.622	0.841	0.464	1.928	0.903	1.969	1.2	1.611	0.611	1.302	
MIATNB	0.157	7.507	3.593	4.134	11.415	5.159	8.761	6.774	4.592	11.954	12.335	6.645	8.022	
MIB1	13.705	41.404	19.879	43.87	27.398	38.325	65.212	33.807	40.155	38.606	27.094	47.161	19.504	ENSG00000101752.12
MIB2	2.145	2.244	5.921	4.649	4.385	1.795	2.002	1.17	7.473	6.27	6.283	2.781	5.431	ENSG00000197530.12
MICA	2.113	3.198	1.039	0.405	0.74	0.062	0.13	0.224	1.078	3.631	3.176	0.247	0.861	ENSG00000204520.14
MICAL1	2.46	11.396	9.624	6.048	31.672	6.209	4.653	1.346	7.214	20.932	20.664	5.242	5.862	ENSG00000135596.18
MICAL2	44.082	231.422	23.309	13.002	17.797	15.696	5.349	121.345	15.862	36.56	37.122	42.649	142.617	ENSG00000133816.17
MICAL3	4.92	8.035	7.208	6.416	9.798	11.931	3.724	11.685	12.819	10.15	9.84	8.36	8.058	ENSG00000243156.9
MICALCL	0.369	37.23	1.899	0.668	1.92	0.255	10.717	25.664	1.369	5.967	11.869	3.497	27.727	
MICALL1	19.305	9.601	8.195	9.865	10.571	9.835	4.928	4.447	16.113	5.686	9.107	11.014	9.079	ENSG00000100139.13
MICALL2	7.646	10.854	10.861	5.405	11.969	0.5	0.0	5.747	13.849	14.572	13.095	4.724	6.825	ENSG00000164877.19
MICB	0.709	0.833	0.415	0.117	0.0	0.024	0.278	0.075	0.148	2.589	0.191	0.27	0.06	ENSG00000204516.10
MICU1	56.791	51.551	80.067	71.237	22.83	25.063	32.0	48.604	58.12	145.985	75.695	59.33	43.57	ENSG00000107745.19
MICU2	19.279	34.242	43.418	37.792	50.011	11.622	17.389	9.079	27.591	14.359	35.016	17.264	45.346	ENSG00000165487.14
MICU3	3.114	1.84	1.284	0.712	0.765	2.113	5.816	4.172	1.032	0.849	0.356	0.916	1.033	ENSG00000155970.12
MID1	4.189	10.854	74.471	42.205	32.392	121.193	38.872	7.88	1.805	199.834	12.368	13.278	22.768	ENSG00000101871.16
MID1IP1	31.896	27.479	41.562	43.667	24.243	13.731	11.195	31.719	101.855	39.511	50.508	21.973	26.672	ENSG00000165175.16
MID1IP1-AS1	16.908	44.928	16.094	29.193	16.928	10.115	5.961	28.091	82.914	42.806	36.28	25.444	19.339	
MID2	22.543	20.193	38.706	18.607	13.455	75.137	1.254	20.12	41.164	44.787	48.522	20.405	34.236	ENSG00000080561.14
MIDN	45.453	38.448	38.588	59.826	32.145	13.086	28.153	22.288	19.813	16.729	57.584	34.818	25.323	ENSG00000167470.12
MIEF1	23.039	24.926	26.024	34.1	49.973	25.17	20.099	20.329	38.77	19.528	19.583	37.161	45.096	ENSG00000100335.15
MIEF2	2.194	6.551	1.672	6.723	8.793	2.072	0.978	3.583	4.523	2.463	5.553	8.121	3.738	ENSG00000177427.13
MIEN1	227.091	200.316	244.255	220.578	182.605	83.751	45.534	102.433	125.007	217.582	233.792	306.191	236.483	ENSG00000141741.12
MIER1	10.368	18.919	24.048	16.622	18.337	14.267	24.208	6.977	14.479	29.587	31.671	24.566	20.922	ENSG00000198160.15
MIER2	5.963	3.422	8.419	6.542	6.64	4.334	1.783	6.413	9.339	2.793	9.427	9.384	6.192	ENSG00000105556.11
MIER3	17.4	10.512	25.091	29.252	21.943	20.376	25.302	13.12	26.637	29.777	26.619	34.486	33.961	ENSG00000155545.20
MIF4GD	35.065	26.627	32.569	19.719	54.988	7.486	5.401	20.043	31.843	45.853	30.049	15.49	24.937	ENSG00000125457.15
MIIP	12.646	10.715	6.437	12.181	17.762	4.485	5.141	3.41	15.924	12.835	14.348	7.143	8.938	ENSG00000116691.11
MILR1	4.375	11.537	2.927	9.037	10.715	0.0	2.941	1.92	7.079	5.952	5.835	8.203	9.072	ENSG00000271605.6
MINA	13.041	24.548	22.03	18.997	28.703	31.676	12.484	21.145	12.483	16.11	20.322	25.096	22.167	
MINK1	12.523	10.402	15.062	13.546	15.839	10.19	7.125	5.716	21.714	16.243	25.69	11.574	9.762	ENSG00000141503.17
MINOS1	79.399	96.403	106.386	79.454	48.234	116.59	80.628	22.978	28.797	135.09	84.697	86.375	134.519	
MINOS1P1	2.294	12.321	5.159	3.638	13.851	0.0	0.522	2.522	4.009	5.59	4.9	2.689	8.507	
MINPP1	13.387	17.656	39.126	32.305	19.474	8.344	13.127	41.48	30.151	30.107	23.837	32.637	23.304	ENSG00000107789.16
MIOS	43.642	116.797	97.346	47.313	95.621	36.265	46.664	153.767	131.174	118.819	91.03	51.232	95.339	ENSG00000164654.16
MIPEP	11.503	316.46	23.13	14.097	32.653	8.97	7.8	44.191	72.299	232.352	29.592	7.414	11.264	ENSG00000027001.10
MIPEPP3	5.367	4.95	3.132	9.767	15.429	8.142	0.805	11.002	20.013	15.088	6.81	2.354	12.919	
MIPOL1	25.295	55.316	30.575	12.899	37.219	15.738	15.823	14.778	9.121	16.627	13.605	10.874	11.667	ENSG00000151338.18
MIR100HG	2.631	20.576	5.818	1.593	3.679	1.258	1.284	1.369	6.445	10.404	5.653	3.451	5.837	
MIR124-2HG	0.0	0.087	0.0	0.0	0.0	0.035	11.405	0.0	0.086	0.19	0.0	0.062	0.039	
MIR133A1HG	0.116	4.433	2.18	3.107	2.554	1.143	5.678	4.407	5.218	4.128	4.512	3.298	2.608	
MIR137HG	0.0	0.0	2.944	0.07	0.565	0.0	6.035	0.0	0.0	0.0	0.0	0.0	0.059	
MIR143HG	1.729	4.816	5.133	4.441	8.648	0.292	1.067	0.539	3.247	4.101	1.016	7.339	6.24	
MIR17HG	5.334	10.389	4.163	3.625	18.121	9.885	4.939	17.868	27.943	6.803	8.721	5.529	17.822	
MIR181A1HG	2.832	1.439	9.697	11.951	25.178	1.112	6.221	10.02	13.719	8.704	2.332	3.686	11.435	
MIR181A2HG	4.393	1.396	6.556	4.349	2.961	1.08	7.544	6.649	7.33	24.937	4.151	5.206	9.864	
MIR2052HG	0.0	1.41	0.288	17.198	0.0	38.443	0.676	0.114	0.618	1.169	1.215	0.0	1.602	
MIR205HG	0.0	120.246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.585	0.0	0.404	0.0	
MIR210HG	5.169	7.227	8.076	5.511	3.508	1.268	1.387	7.973	5.874	6.231	15.233	0.328	0.429	
MIR22HG	1.794	2.934	5.3	1.657	0.794	0.968	0.0	0.458	4.343	2.409	6.755	1.62	1.46	
MIR4435-2HG	14.162	39.089	13.304	22.787	13.944	0.518	9.222	1.912	10.584	12.351	8.845	16.606	5.828	
MIR4458HG	24.11	18.792	16.66	11.652	22.911	0.0	22.181	6.554	30.039	13.327	54.22	12.13	21.496	
MIR4697HG	1.785	0.119	3.857	1.96	5.049	1.19	2.138	3.484	3.423	3.749	11.637	3.007	3.729	
MIR497HG	9.506	5.96	6.812	8.272	32.667	23.687	0.0	1.812	5.279	8.502	27.902	6.996	14.509	
MIR600HG	1.758	5.196	3.246	5.879	9.977	5.216	11.745	3.457	5.006	16.792	6.046	5.638	5.747	
MIR646HG	0.0	0.164	3.508	0.0	23.269	0.261	3.296	0.474	0.807	1.321	0.181	0.467	1.309	
MIR762HG	3.213	20.753	8.928	7.189	6.957	7.632	1.101	4.599	4.295	9.613	2.292	6.115	4.172	
MIR99AHG	30.326	9.67	20.589	1.496	284.127	96.666	10.649	17.842	16.091	44.645	0.607	3.248	3.217	
MIRLET7BHG	2.017	5.707	7.257	5.271	3.066	3.387	0.435	7.243	24.058	9.475	28.528	11.277	9.382	
MIRLET7DHG	13.034	47.45	24.565	25.044	43.448	32.217	35.469	28.225	52.918	47.083	31.187	44.21	46.644	
MIS12	19.129	36.225	27.28	21.1	36.525	21.813	26.563	21.778	32.005	41.363	47.118	36.25	25.82	ENSG00000167842.16
MIS18A	76.99	39.873	38.886	44.401	39.537	66.099	88.305	36.901	23.692	61.777	35.936	23.593	28.512	ENSG00000159055.4
MIS18BP1	16.868	32.271	23.905	18.867	24.138	37.147	37.002	26.53	22.562	60.872	21.744	27.161	27.721	ENSG00000129534.14
MISP	0.704	0.0	0.281	0.298	0.0	0.547	0.0	0.331	0.0	0.355	0.316	5.922	0.0	ENSG00000099812.9
MITD1	15.457	49.285	85.478	33.946	40.327	45.259	36.388	34.088	51.912	63.311	72.927	50.545	47.928	ENSG00000158411.11
MITF	8.464	11.999	35.035	3.612	3.774	3.632	4.706	1.938	4.4	6.115	5.675	3.196	3.736	ENSG00000187098.17
MIXL1	0.827	17.129	0.605	0.172	0.175	0.262	0.711	1.314	0.487	1.638	0.182	0.626	0.805	ENSG00000185155.12
MKI67	149.307	71.28	32.226	68.154	44.973	177.99	185.687	84.864	71.091	148.522	28.887	127.164	74.206	ENSG00000148773.14
MKKS	30.199	29.84	34.524	36.759	38.645	20.063	65.654	28.774	18.572	36.01	55.25	56.639	31.84	ENSG00000125863.20
MKL1	28.77	33.134	10.67	19.037	24.438	6.485	7.041	6.987	22.841	19.932	20.078	24.021	22.494	
MKL2	37.111	56.327	48.623	62.125	185.277	69.494	50.098	118.414	41.675	89.012	51.526	94.443	77.432	
MKLN1	23.561	64.647	21.116	39.559	48.251	95.921	44.742	29.278	49.469	49.117	71.797	41.256	65.741	ENSG00000128585.18
MKLN1-AS	2.334	8.654	1.301	5.975	6.241	11.185	0.0	2.842	2.739	1.319	9.041	4.503	7.258	
MKNK1	13.036	13.61	20.938	14.063	18.361	27.624	13.407	7.275	14.465	38.576	15.107	15.145	15.878	ENSG00000079277.22
MKNK1-AS1	0.363	0.269	0.578	0.774	0.714	0.966	0.484	0.293	2.526	2.26	0.298	0.576	0.538	
MKNK2	51.285	162.837	114.142	77.425	40.023	39.954	24.202	59.485	92.331	32.003	250.569	105.007	166.788	ENSG00000099875.15
MKRN1	97.766	102.164	55.501	86.65	87.298	90.529	179.781	39.751	88.131	117.089	118.339	51.378	91.93	ENSG00000133606.11
MKRN2	21.421	54.623	39.091	42.678	35.797	44.63	83.225	31.88	36.641	61.083	66.904	32.658	42.796	ENSG00000075975.17
MKRN3	0.0	0.0	3.328	6.417	0.639	0.0	7.617	0.0	0.238	0.15	0.133	0.172	0.053	ENSG00000179455.10
MKRN7P	0.0	0.0	0.0	0.0	0.0	0.0	0.453	0.0	0.825	0.0	0.0	0.0	2.05	
MKRN9P	0.072	0.0	20.608	0.193	0.0	0.0	75.68	0.0	0.0	5.861	0.0	3.078	0.082	
MKS1	7.367	3.741	5.786	11.67	21.777	13.999	10.118	6.731	14.666	18.228	7.726	7.982	10.153	ENSG00000011143.19
MKX	0.509	2.994	5.105	0.461	1.59	0.0	0.063	0.255	0.873	0.769	1.272	0.84	0.98	ENSG00000150051.14
MLC1	0.0	0.0	0.047	2.076	0.648	0.0	6.202	0.331	0.454	1.238	0.212	0.255	0.339	ENSG00000100427.16
MLEC	316.846	278.32	798.193	261.34	377.798	558.821	166.401	333.298	422.433	148.914	367.985	243.203	448.214	ENSG00000110917.8
MLF1	10.138	10.907	5.41	1.815	12.503	9.102	41.924	1.168	5.149	16.825	13.613	26.321	5.016	ENSG00000178053.20
MLF2	175.254	128.14	127.889	158.888	84.263	93.089	45.169	128.212	319.699	144.086	248.733	257.531	196.797	ENSG00000089693.11
MLH1	61.984	79.47	79.414	61.337	70.106	36.136	92.145	50.898	50.608	120.641	80.196	77.354	75.49	ENSG00000076242.16
MLH3	11.361	45.753	20.603	21.723	47.88	28.306	24.457	40.478	31.951	39.447	28.379	24.871	43.409	ENSG00000119684.16
MLIP	0.892	0.048	0.119	0.682	0.564	0.116	5.384	0.0	0.144	0.121	0.0	0.346	0.064	ENSG00000146147.15
MLKL	7.532	27.403	4.289	3.312	16.882	1.547	0.651	6.839	6.39	11.024	3.369	6.215	3.621	ENSG00000168404.13
MLLT1	19.939	23.806	21.398	30.19	56.323	27.463	30.815	28.558	47.04	42.172	37.285	46.54	48.521	ENSG00000130382.9
MLLT10	29.027	78.708	33.787	50.346	74.598	67.006	47.785	32.956	72.586	77.936	53.521	44.923	50.679	ENSG00000078403.17
MLLT11	6.187	15.558	17.759	12.643	5.397	31.302	206.867	2.457	10.036	13.408	15.871	18.974	16.092	ENSG00000213190.4
MLLT3	36.404	12.843	21.655	11.222	2.376	9.652	22.507	12.695	29.979	25.849	23.392	24.148	4.402	ENSG00000171843.17
MLLT4	14.474	112.036	56.151	66.358	158.586	0.896	32.677	3.422	58.718	107.715	127.859	54.813	51.69	
MLLT4-AS1	1.049	5.433	1.667	9.27	23.227	0.0	0.0	5.494	1.836	7.382	10.063	4.762	2.416	
MLLT6	17.861	18.826	17.51	25.692	57.759	9.455	6.3	21.2	14.916	45.911	27.193	23.735	24.381	ENSG00000275023.5
MLPH	38.943	22.754	72.612	58.649	72.336	12.163	0.427	79.16	50.446	102.806	187.821	125.444	91.295	ENSG00000115648.14
MLST8	35.996	10.876	36.011	30.463	26.197	12.413	15.188	23.9	32.032	24.919	21.663	75.48	32.759	ENSG00000167965.18
